id,title,seq,start_sec,end_sec,start_time,end_time,original_text,japanese_translation,audio_url,audio_file,video_playback_url,doi
范丹_FULL_ELAN_0001,范丹,1,0.0,5.0,00:00:00.000,00:00:05.000,【范丹问世尊】,《范丹問世尊》,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=0,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0002,范丹,2,10.433,13.333,00:00:10.433,00:00:13.333,小生范丹,私は范丹。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=10,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0003,范丹,3,15.033,20.8,00:00:15.033,00:00:20.800,只因与石崇同年同月同日同时生,石崇と同じ年、同じ月、同じ日、同じ時刻に生まれた。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=15,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0004,范丹,4,21.833,26.6,00:00:21.833,00:00:26.600,他家豪富 我家贫穷,彼の家は大金持ち、私の家は貧乏。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=21,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0005,范丹,5,27.333,33.633,00:00:27.333,00:00:33.633,贫富二字不得解 要到西方问世尊,「貧」と「富」の違いが分からず、西方へ行って仏様に尋ねたい。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=27,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0006,范丹,6,33.833,37.766,00:00:33.833,00:00:37.766,不免西方走啊,だから西へ向かうのだ。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=33,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0007,范丹,7,48.5,58.466,00:00:48.500,00:00:58.466,范丹主意安排定，,范丹の決意は固まった、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=48,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0008,范丹,8,62.766,69.966,00:01:02.766,00:01:09.966,千里迢迢问世尊…哪敢前！,千里の道を越えて仏に問う…でも怖い！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=62,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0009,范丹,9,118.833,121.7,00:01:58.833,00:02:01.700,精不精来灵不灵,霊験あらたかかどうかは修行次第。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=118,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0010,范丹,10,123.366,126.266,00:02:03.366,00:02:06.266,千年修道万年灵,千年の修行で万年の霊力を得る。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=123,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0011,范丹,11,127.9,131.033,00:02:07.900,00:02:11.033,若要修仙成正果,仙人になるには蟠桃会に何千年も通わねば。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=127,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0012,范丹,12,132.466,141.866,00:02:12.466,00:02:21.866,蟠桃会上几千年 我乃黄河渡乌龟仙,私は黄河の渡し守、ウミガメ仙人。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=132,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0013,范丹,13,144.266,147.9,00:02:24.266,00:02:27.900,观见善人范丹西天问事啊,善人の范丹が西天へ問事に行くのを見て、,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=144,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0014,范丹,14,149.0,153.866,00:02:29.000,00:02:33.866,我不免要将我的事情托付于他,私の願いを託したい。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=149,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0015,范丹,15,154.133,156.433,00:02:34.133,00:02:36.433,在此等候,ここで待っていたのだ。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=154,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0016,范丹,16,161.5,167.733,00:02:41.500,00:02:47.733,哦！饶命吧饶命吧妖怪,ああ！命だけは助けてください、妖怪よ！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=161,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0017,范丹,17,180.633,188.0,00:03:00.633,00:03:08.000,我范丹是个行善人…妖怪饶！,私は善行を積む范丹です…どうかお許しを！,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=180,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0018,范丹,18,203.7,212.3,00:03:23.700,00:03:32.300,范丹善人休害怕，,善人の范丹よ、怖がるな。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=203,https://doi.org/10.5281/zenodo.20084809
范丹_FULL_ELAN_0019,范丹,19,216.2,224.733,00:03:36.200,00:03:44.733,我是黄河修道乌龟仙。,私は黄河で修行するウミガメ仙人。,https://zenodo.org/records/20084809/files/%E5%B9%B3%E6%B1%9F%EF%BC%88%E7%9A%AE%EF%BC%89%E5%BD%B1%E6%88%AF%E6%B5%B7%E5%A4%96%E5%88%9D%E5%85%AC%E6%BC%94%E3%83%BC%E8%8C%83%E4%B8%B9%E9%97%AE%E4%B8%96%E5%B0%8A%EF%BC%88%E5%AD%97%E5%B9%95%E7%89%88%EF%BC%89.wav?download=1,平江（皮）影戯海外初公演ー范丹问世尊（字幕版）.wav,https://youtu.be/RPYQKqnegmg?t=216,https://doi.org/10.5281/zenodo.20084809
